IfcAlarm	Pr_70_75_70_03	{'name': 'equivalent_classification'}
IfcController	Pr_70_75_04_94	{'name': 'equivalent_classification'}
IfcFlowInstrument	Pr_25_30_86_03	{'name': 'equivalent_classification'}
IfcSensor	Pr_70_75_52_96	{'name': 'equivalent_classification'}
IfcConstructionEquipmentResource	Pr_40_70_35	{'name': 'equivalent_classification'}
IfcConstructionEquipmentResource	Pr_40_70_75_39	{'name': 'equivalent_classification'}
IfcConstructionMaterialResource	Pr_25_71_29_76	{'name': 'equivalent_classification'}
IfcAudioVisualAppliance	Pr_40_30_20_03	{'name': 'equivalent_classification'}
IfcAudioVisualAppliance	Pr_70_75_04	{'name': 'equivalent_classification'}
IfcAudioVisualAppliance	Pr_70_75_06_80	{'name': 'equivalent_classification'}
IfcAudioVisualAppliance	Pr_70_75_94	{'name': 'equivalent_classification'}
IfcCableCarrierSegment	Pr_65_70_11_79	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_20_29_30_11	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_65_70	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_65_70_15_06	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_65_70_15_13	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_65_70_15_16	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_65_70_30_10	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_65_70_50_28	{'name': 'equivalent_classification'}
IfcCableFitting	Pr_65_70_50_49	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_40_10_57_12	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_11_16	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_11_18	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_12_11	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_15_96	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_30_12	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_30_58	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_48_79	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_70_80_87	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_65_80_15_13	{'name': 'equivalent_classification'}
IfcCableSegment	Pr_80_77_28_09	{'name': 'equivalent_classification'}
IfcCommunicationsAppliance	Pr_70_75	{'name': 'equivalent_classification'}
IfcCommunicationsAppliance	Pr_70_75_69	{'name': 'equivalent_classification'}
IfcCommunicationsAppliance	Pr_80_77_27_42	{'name': 'equivalent_classification'}
IfcElectricAppliance	Pr_40_70_17_24	{'name': 'equivalent_classification'}
IfcElectricAppliance	Pr_40_70_17_27	{'name': 'equivalent_classification'}
IfcElectricAppliance	Pr_40_70_17_43	{'name': 'equivalent_classification'}
IfcElectricAppliance	Pr_40_70_24_07	{'name': 'equivalent_classification'}
IfcElectricAppliance	Pr_40_70_24_08	{'name': 'equivalent_classification'}
IfcElectricAppliance	Pr_40_70_35_27	{'name': 'equivalent_classification'}
IfcElectricFlowStorageDevice	Pr_40_30_78_32	{'name': 'equivalent_classification'}
IfcElectricGenerator	Pr_80_77_28_33	{'name': 'equivalent_classification'}
IfcJunctionBox	Pr_20_76_51_08	{'name': 'equivalent_classification'}
IfcJunctionBox	Pr_20_93_92_90	{'name': 'equivalent_classification'}
IfcJunctionBox	Pr_40_30_50_46	{'name': 'equivalent_classification'}
IfcJunctionBox	Pr_65_72_97_27	{'name': 'equivalent_classification'}
IfcJunctionBox	Pr_80_77_28_08	{'name': 'equivalent_classification'}
IfcLamp	Pr_70_70_46	{'name': 'equivalent_classification'}
IfcLamp	Pr_70_70_46_41	{'name': 'equivalent_classification'}
IfcLamp	Pr_70_70_46_42	{'name': 'equivalent_classification'}
IfcLamp	Pr_70_70_46_44	{'name': 'equivalent_classification'}
IfcLamp	Pr_70_70_46_80	{'name': 'equivalent_classification'}
IfcMobileTelecommunicationsAppliance	Pr_70_75_88	{'name': 'equivalent_classification'}
IfcMobileTelecommunicationsAppliance	Pr_70_75_88_52	{'name': 'equivalent_classification'}
IfcMobileTelecommunicationsAppliance	Pr_70_75_88_83	{'name': 'equivalent_classification'}
IfcOutlet	Pr_30_59_96_96	{'name': 'equivalent_classification'}
IfcOutlet	Pr_65_70_11_75	{'name': 'equivalent_classification'}
IfcOutlet	Pr_65_70_11_76	{'name': 'equivalent_classification'}
IfcOutlet	Pr_65_72_97_19	{'name': 'equivalent_classification'}
IfcOutlet	Pr_65_72_97_41	{'name': 'equivalent_classification'}
IfcOutlet	Pr_65_72_97_72	{'name': 'equivalent_classification'}
IfcOutlet	Pr_65_72_97_82	{'name': 'equivalent_classification'}
IfcOutlet	Pr_65_72_97_84	{'name': 'equivalent_classification'}
IfcOutlet	Pr_70	{'name': 'equivalent_classification'}
IfcOutlet	Pr_70_55_96	{'name': 'equivalent_classification'}
IfcOutlet	Pr_70_55_98	{'name': 'equivalent_classification'}
IfcProtectiveDevice	Pr_20_85_07_65	{'name': 'equivalent_classification'}
IfcProtectiveDevice	Pr_40_70_27	{'name': 'equivalent_classification'}
IfcProtectiveDevice	Pr_40_70_75	{'name': 'equivalent_classification'}
IfcProtectiveDevice	Pr_65_67_16_08	{'name': 'equivalent_classification'}
IfcProtectiveDevice	Pr_65_70_13	{'name': 'equivalent_classification'}
IfcProtectiveDevice	Pr_65_72_27	{'name': 'equivalent_classification'}
IfcProtectiveDevice	Pr_80_77_28_68	{'name': 'equivalent_classification'}
