,Swiss_Raw,Swiss_Code,SoldAfterDays,CountEntity,Swiss_Code_Parent,Code,Title,Imagefile,Rank_SoldAfterDays,Rank_CountEntity,Score
30,dera iler,IfcTrackElement.DERAILER,68.33333333333333,18,IfcTrackElement.DERAILER,,,"[nan, 'a6277ff7-c545-4075-87db-77dbd959c680_570x570.jpeg', nan, '111773_570x570.jpg', '20220605_124734_570x570.jpg', '111715_570x570.jpg', nan, '_dsc9615_570x570.jpg', '_dsc9649_570x570.jpg', '_dsc9778_570x570.jpg', '_dsc9923_570x570.jpg', '111985_570x570.jpg', '_dsc9885_570x570.jpg', '_dsc9955_570x570.jpg', '_dsc9927_570x570.jpg', '_dsc9991_570x570.jpg', '2911-2_570x570.jpg', '3031-2_570x570.jpg', '_dsc0871_570x570.jpg', '3031-2_570x570.jpg', '_dsc0871_570x570.jpg', '113134_570x570.jpg', '113163_570x570.jpg']",17.0,23.0,40.0
52,Dish and utensil washers,Pr_40_70_21_22,28.666666666666668,12,Pr_40_70,Pr_40_70,Equipment,"[nan, nan, nan, nan, 'hintergrund-horizontal-neu_%284%29_570x570.png', nan, '1_%28256%29_570x570.jpg', '112410_570x570.jpg', '1_%28301%29_570x570.jpg', '_dsc9836_570x570.jpg', '112517_570x570.jpg', '_dsc0331_570x570.jpg', '1130683_570x570.jpg', '1_%28484%29_570x570.jpg']",6.0,35.0,41.0
258,Wash troughs,Pr_40_20_96_99,96.07407407407408,27,Pr_40_20,Pr_40_20,Sanitary fittings and accessories,"['109481_1_570x570.jpg', '90106_1_570x570.jpg', '90110_1_570x570.jpg', '112350_570x570.jpg', '112338_570x570.jpg', '111483_570x570.jpg', '90114_1_570x570.jpg', '90017_1_570x570.jpg', '90026_1_570x570.jpg', '111042_570x570.jpg', '111473_570x570.jpg', '111474_570x570.jpg', '111476_570x570.jpg', '109481_1_%281%29_570x570.jpg', '91552_570x570.jpg', '91211_1_570x570.jpg', '90166_1_570x570.jpg', '90153_1_570x570.jpg', '90118_1_570x570.jpg', '90111_1_570x570.jpg', '90109_1_570x570.jpg', '90068_1_570x570.jpg', '90063_1_570x570.jpg', '110999_570x570.jpg', '110905_570x570.jpg', '109794_1_570x570.jpg', '110411_1_570x570.jpg']",32.0,11.0,43.0
29,Grommets,Pr_20_29_60_34,103.75,48,Pr_20_29,Pr_20_29,Fastener products,"['bildschirmfoto-2021-07-23-um-14.31.44_570x570.png', '8b2c4574-0348-4c58-9dc5-38b39f364183_570x570.png', nan, nan, nan, nan, '111679_570x570.jpg', '111830_570x570.jpg', '1_%2888%29_570x570.jpg', 'hintergrund-horizontal-neu_%281%29_570x570.jpg', 'hintergrund-horizontal-neu_%282%29_570x570.jpg', '2570_570x570.jpg', '2425_1_570x570.jpg', 'sam_7086_570x570.jpg', '_dsc9478_570x570.jpg', '109091_1_570x570.jpg', '111673_570x570.jpg', '109431_1_570x570.jpg', '20170830_104143_570x570.jpg', '20210429_111255_570x570.jpg', '_dsc9389_570x570.jpg', '_dsc9460_570x570.jpg', '111399_570x570.jpg', '111574_570x570.png', nan, '20190710_090109_570x570.jpg', '20210429_111806_570x570.jpg', '112448_570x570.jpg', '2463_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/11/2211-5414-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2211-5414-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/01/2211-5397-a.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2211-5397-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/12/2211-5399-a-2.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2211-5399-c-2.jpg']"", '_dsc9861_570x570.jpg', '111974_570x570.jpg', '_dsc9916_570x570.jpg', '112564_570x570.jpg', '2879-2_570x570.jpg', '_dsc9977_570x570.jpg', '112036_570x570.jpg', '_dsc0192_570x570.jpg', '2927-2_570x570.jpg', 'img_6859_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5763-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5763-b-600x800.jpg']"", '108882_570x570.jpg', '3002-2_570x570.jpg', '112010_%281%29_570x570.jpg', '112007_%281%29_570x570.jpg', '112005_%281%29_570x570.jpg', '112002_%281%29_570x570.jpg', 'image_%2840%29_570x570.jpg', 'image_%2834%29_570x570.jpg', '112011_2_570x570.jpg', '112010_2_570x570.jpg', '112006_2_570x570.jpg', '112010_%281%29_570x570.jpg', '112007_%281%29_570x570.jpg', '112005_%281%29_570x570.jpg', '112002_%281%29_570x570.jpg', 'image_%2840%29_570x570.jpg', 'image_%2834%29_570x570.jpg', '112780_570x570.png', '112772_%281%29_570x570.png', '112769_570x570.png', '112768_570x570.png']",37.0,7.0,44.0
38,parapet,IfcWall.PARAPET,99.11538461538461,26,IfcWall.PARAPET,,,"['1_%28133%29_570x570.jpg', '1_%28131%29_570x570.jpg', '20190320_162757_%281%29_570x570.jpg', '20210407_093351_570x570.jpg', '20211011_114231_570x570.jpg', nan, nan, 'tempimagesvjh5s_570x570.jpg', 'img_1016_570x570.jpg', '09.12.2015-004_570x570.jpg', '20.08.2016-009_570x570.jpg', 'img_20220824_1026124_570x570.jpg', '111495_570x570.jpg', '111276_570x570.jpg', '112465_570x570.jpg', 'p1010089_____og_570x570.jpg', 'p1010097_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/12/2212-5509-a.jpg']"", '91707_1_570x570.jpg', 'escalier_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5586-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5586-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5739-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5739-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5739-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5740-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5740-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5740-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5737-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5737-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5737-c-600x800.jpg']"", 'gitter_570x570.jpg', '27.04.2017-002_570x570.jpg', '27.04.2017-002_570x570.jpg', nan, 'bauteil102_570x570.jpg', 'bauteil9_570x570.jpg', 'deckenplatten2_570x570.png']",35.0,12.0,47.0
84,Fridge-freezers,Pr_40_70_26_32,38.45454545454545,11,Pr_40_70,Pr_40_70,Equipment,"[nan, '1_%28318%29_570x570.jpg', '2897-2_570x570.jpg', '2896-2_570x570.jpg', '2895-2_570x570.jpg', '2894-2_570x570.jpg', '1_%28336%29_570x570.jpg', '112571_570x570.jpg', '1_%28342%29_570x570.jpg', '1_%28366%29_570x570.jpg', '_dsc0692_570x570.jpg', '_dsc0692_570x570.jpg']",8.0,39.0,47.0
40,turnstile,IfcDoor.TURNSTILE,110.8409090909091,44,IfcDoor.TURNSTILE,,,"['20220108_104538_570x570.jpg', nan, '20190926_160530_%281%29_570x570.jpg', 'dsc_0143_570x570.jpg', '1_%2811%29_570x570.png', '111825_570x570.jpg', '1661_570x570.jpg', '1663_570x570.jpg', 'hauptbild_570x570.png', '1664_570x570.jpg', '2047_1_570x570.jpg', '6024912187_570x570.jpg', '111826_570x570.jpg', '2175_570x570.jpg', '112380_2_570x570.jpg', '106163_570x570.jpg', '111494_570x570.jpg', '111361_570x570.jpg', '108720_1_570x570.jpg', '20150903_135121_570x570.jpg', '112381_2_570x570.jpg', '_dsc9529_570x570.jpg', 'treppe1_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/10/2202-3145-a-80-600x450.jpg']"", '112012_2_570x570.jpg', '112004_2_570x570.jpg', '112003_2_570x570.jpg', '112011_2_570x570.jpg', '112011_2_570x570.jpg', '112007_2_570x570.jpg', '112006_2_570x570.jpg', '112006_2_570x570.jpg', '112010_2_570x570.jpg', '112010_2_570x570.jpg', '112008_2_570x570.jpg', '112002_2_570x570.jpg', '112005_02_570x570.jpg', '112009_2_570x570.jpg', '112013_2_570x570.jpg', '112068_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/01/2301-5569-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5569-b-600x800.jpg']"", 'screenshot2023-03-28083403_570x570.png', '1_%28375%29_570x570.jpg', '1_%28372%29_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5753-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5753-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5770-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5770-b-600x800.jpg']"", '05166aa2-8ea8-4edf-8d62-7e1d8a682f11_570x570.jpg', '05166aa2-8ea8-4edf-8d62-7e1d8a682f11_570x570.jpg']",44.0,9.0,53.0
44,sleevi ng,IfcCovering.SLEEVING,105.375,24,IfcCovering.SLEEVING,,,"['20200402_163608-kopie_570x570.jpg', '111832_570x570.jpg', '111833_570x570.jpg', '2058_570x570.jpg', '1948_570x570.jpg', '20190715_163305_%282%29_570x570.jpg', 'img_20220824_1023394_570x570.jpg', '109297_1_570x570.jpg', '109304_1_570x570.jpg', '109965_1_570x570.jpg', '111356_570x570.jpg', '112327_570x570.jpg', 'tre2img_3140_570x570.jpg', 'tre1img_3139_570x570.jpg', 'tre3img_3141_570x570.jpg', '111644_570x570.jpg', '109850_1_570x570.jpg', '111527_570x570.jpg', '111882_570x570.jpg', '20200507_175531_570x570.jpg', '_dsc9642_570x570.jpg', '111356_%281%29_570x570.jpg', '111990_570x570.jpg', '112104_570x570.jpg', '112105_570x570.jpg', '20221012_152217_570x570.jpg', 'aef3655c-5c00-45d1-bbf0-f9b8e06d8443_570x570.jpg', 'aef3655c-5c00-45d1-bbf0-f9b8e06d8443_570x570.jpg', '113749_570x570.jpg']",39.0,14.0,53.0
186,Cutlery,Pr_40_70_23_20,21.555555555555557,9,Pr_40_70,Pr_40_70,Equipment,"['1_%2839%29_570x570.jpg', '1_%28294%29_570x570.jpg', '1_%28270%29_570x570.jpg', '_dsc9699_570x570.jpg', '1_%28303%29_570x570.jpg', '1_%28302%29_570x570.jpg', '_dsc9769_570x570.jpg', '_dsc9962_570x570.jpg', 'screenshot2023-03-22100358_570x570.png']",4.0,49.0,53.0
82,microwave,IfcElectricAppliance.MICROWAVE,60.0,11,IfcElectricAppliance.MICROWAVE,,,"[nan, nan, '1_%28108%29_570x570.jpg', '_dsc9135_570x570.jpg', '2751_1_570x570.jpg', '2770_2_570x570.jpg', '_dsc9674_570x570.jpg', '2582_570x570.jpg', '112554_570x570.jpg', '112168_570x570.jpg', '3025-1_570x570.jpg']",15.0,39.0,54.0
