,Swiss_Raw,Swiss_Code,SoldAfterDays,CountEntity,Swiss_Code_Parent,Code,Title,Imagefile,Rank_SoldAfterDays,Rank_CountEntity,Score
54,Electrochromic glass,Pr_25_71_33_27,89.0,16,Pr_25_71,Pr_25_71,"Rigid board, panel, sheet and sectional products","[nan, '2511_1_570x570.jpg', '111341_570x570.jpg', '2754_1_570x570.jpg', '112369_570x570.jpg', '108157_1_570x570.jpg', '108161_1_570x570.jpg', '109826_1_570x570.jpg', '2754_1_%281%29_570x570.jpg', '2780_2_570x570.jpg', '112088_570x570.jpg', '112109_570x570.jpg', '112170_570x570.jpg', '111070_570x570.jpg', '111069_570x570.jpg', '112056_570x570.jpg', '112170_570x570.jpg', '111070_570x570.jpg', '111069_570x570.jpg', '112056_570x570.jpg', '113126_570x570.jpg']",30.0,24.0,54.0
8,door,IfcDoor,114.11538461538461,52,IfcDoor,,,"['20200115_081551_570x570.jpg', '20210924_112352-kopie_570x570.jpg', '20211014_152218_570x570.jpg', '20181112_170804_570x570.jpg', nan, '111497_570x570.jpg', '20181212_105901_570x570.jpg', '20220603_101935_570x570.jpg', '20200525_164037_570x570.jpg', '20180830_170933_570x570.jpg', '111417_570x570.jpg', '111468_570x570.jpg', '111695_570x570.jpg', '111359_570x570.jpg', '111360_570x570.jpg', '111420_570x570.jpg', '111258_570x570.jpg', '111469_570x570.jpg', 'img_20221028_132751_570x570.jpg', 'img_5207_570x570.jpg', '20171027_161037_570x570.jpg', '111470_570x570.jpg', '20190121_115638_570x570.jpg', '290109005_570x570.jpg', '20170223_090112_570x570.jpg', '20180411_110308_570x570.jpg', '20180411_105529_570x570.jpg', '20180417_163217_570x570.jpg', '20180417_162822_570x570.jpg', '20190121_112429_570x570.jpg', '20201022_144745_570x570.jpg', nan, '32_%281%29_570x570.jpg', '111497_%281%29_570x570.jpg', '112514_570x570.jpg', 'eingangtre_570x570.jpg', '20221110_110351_%281%29_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/11/2208-4809-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4809-b-2-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/12/2212-5492-a-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/10/2103-1362-b-82.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2103-1362-a-82.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2103-1362-b-83.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/10/2103-1350-a-82.jpg']"", '2812_2_570x570.jpg', '2811_2_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/02/2302-5955-a-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5955-b-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5955-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/02/2302-5721-a-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/02/2302-5715-a-600x800.jpg']"", nan, ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5725-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5725-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5725-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5808-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5808-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5808-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5782-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5782-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5782-c-600x800.jpg']"", 'wohnunggotthelfstrasse001_570x570.jpg', nan, ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5777-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5777-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5777-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5800-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5800-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5800-c-600x800.jpg']"", 'img_9731_%283%29_570x570.jpg', 'img_9731_%281%29_570x570.jpg', 'bauteil302hygienetr_570x570.jpg', 'bauteil301hygienetr_570x570.jpg', '20230812_111349_570x570.jpg']",49.0,5.0,54.0
81,Kitchenette units,Pr_20_65_50_46,70.27272727272727,11,Pr_20_65,Pr_20_65,Prefabricated buildings and structures,"[nan, nan, '20170314_125602_570x570.jpg', nan, 'whatsappimage2022-09-17at200511_570x570.jpg', 'whatsappimage2022-09-17at200511_%282%29_570x570.jpg', 'img_1333_%281%29_570x570.jpg', 'img_4880_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/12/2210-5195-a-11-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2210-5195-b-11-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2210-5195-c-11-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/12/2210-5198-a-11-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2210-5198-b-11-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2210-5198-c-11-600x800.jpg']"", nan, ""['https://materiuum.ch/wp-content/uploads/2023/02/2201-3030-a-1-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2201-3030-b-1-600x800.jpg']"", '01859f1d-513d-445a-92cf-c418303c72fd_570x570.jpg', '01859f1d-513d-445a-92cf-c418303c72fd_570x570.jpg', 'kche_%286%29_570x570.jpg', '20220906_165050_570x570.jpg']",19.0,39.0,58.0
285,Fishwashers,Pr_20_29_70_32,54.6,10,Pr_20_29,Pr_20_29,Fastener products,"['2775_3_570x570.jpg', '2739_1_570x570.jpg', '2849-2_570x570.jpg', '2865-3_570x570.jpg', '2866-2_570x570.jpg', '2960-2_570x570.jpg', '2928-2_570x570.jpg', '2023-03-2613_51_41-window_570x570.png', '20230406_131959_570x570.jpg', '112175_570x570.jpg', 'geschirrspler_%281%29_570x570.jpg']",14.0,44.0,58.0
124,Wood window walls,Pr_30_59_99_96,98.625,16,Pr_30_59,Pr_30_59,Openings and opening component products,"[nan, 'fensterlanden-haus2_570x570.jpg', '_dsc7563_570x570.jpg', 'rl-doppelfenster_570x570.jpg', '111379_570x570.jpg', '110668_570x570.jpg', '111886_570x570.jpg', '2446_570x570.jpg', '20221128_110035_570x570.jpg', '20221128_110035_%281%29_570x570.jpg', '2827_1_570x570.jpg', '2839_1_570x570.jpg', '2834_1_570x570.jpg', '2836_1_570x570.jpg', '112551_570x570.jpg', '112555_570x570.jpg', 'img_20230309_135246_570x570.jpg', '20230525_060949_570x570.jpg', 'festvglimage-1_570x570.jpg']",34.0,24.0,58.0
359,Murals,Pr_40_50_05_55,6.571428571428571,7,Pr_40_50,Pr_40_50,Furnishings,"[""['https://materiuum.ch/wp-content/uploads/2022/12/2209-4941-a-9-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2209-4941-b-9-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2209-4941-c-9-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/11/2208-4769-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4769-b-2.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4769-c-2.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/11/2208-4813-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4813-b-2.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4813-c-2.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/11/2208-4814-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4814-b.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4814-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5752-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5752-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5752-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5756-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5756-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5756-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5735-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5735-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5735-c-600x800.jpg']""]",1.0,58.0,59.0
127,quay,IfcMarineFacility.QUAY,108.21052631578948,19,IfcMarineFacility.QUAY,,,"[nan, '28.04.2016-023_570x570.jpg', '02.06.2017-011_570x570.jpg', '02.06.2017-008_570x570.jpg', 'wcc_570x570.png', '109296_1_570x570.jpg', 'kkkk_570x570.jpg', '110855_570x570.jpg', '109851_1_570x570.jpg', '109954_1_570x570.jpg', '109973_1_570x570.jpg', '111883_570x570.jpg', '108705_1_570x570.jpg', '112317_570x570.jpg', '106327_1_570x570.jpg', '111958_570x570.jpg', 'chaudirewolf_570x570.jpg', '20170509_104743_570x570.jpg', '112148_570x570.jpg', '20170509_104743_570x570.jpg', '112148_570x570.jpg']",40.0,20.0,60.0
77,Ceramic slates,Pr_25_93_72_11,111.18181818181819,22,Pr_25_93,Pr_25_93,Unit skin products,"['20220714_182104_570x570.jpg', 'theke_1_570x570.jpg', '2494_1_570x570.jpg', nan, '107247_1_570x570.jpg', 'naturmuseum_sg1_570x570.jpg', '107947_1_570x570.jpg', '108018_1_570x570.jpg', '108209_1_570x570.jpg', '108236_1_570x570.jpg', '107953_1_570x570.jpg', '111752_570x570.jpg', '111282_570x570.jpg', '111265_570x570.jpg', '111753_570x570.jpg', '107221_1_570x570.jpg', '108212_1_570x570.jpg', '_dsc9583_570x570.jpg', '111965_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5815-a-600x450.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5791-a-600x450.jpg']"", '112177_570x570.jpg', '112177_570x570.jpg']",45.0,15.0,60.0
60,sprinkler,IfcFireSuppressionTerminal.SPRINKLER,22.428571428571427,7,IfcFireSuppressionTerminal.SPRINKLER,,,"[nan, '111919_570x570.jpg', '111920_570x570.jpg', '2964_5_570x570.jpg', '2964_5_570x570.jpg', 'ausgebaut-kopie_570x570.jpg', '112529_570x570.jpg', '112529_570x570.jpg']",5.0,58.0,63.0
20,staple,IfcMechanicalFastener.STAPLE,133.54237288135593,59,IfcMechanicalFastener.STAPLE,,,"['20201006_120047_570x570.jpg', '224092_570x570.jpg', '2551_570x570.jpg', '99bdf26c-36bc-475a-9151-3f2f2bd6d0a3_570x570.jpeg', '2646_570x570.jpg', '2680_570x570.jpg', '20180609_134938_570x570.jpg', nan, '20220313_101633_%281%29_570x570.jpg', 'sam_7651_570x570.jpg', 'front2_570x570.jpg', 'img_0452_570x570.jpg', 'img_7338_570x570.jpg', 'img_570x570.jpg', nan, '59caa3bb-1876-45bc-ad4b-e95bf45c0127_570x570.png', '111481_570x570.jpg', '20150608_115902a_570x570.jpg', '2064_570x570.jpg', '20210126_171839_570x570.jpg', '2688_570x570.jpg', nan, 'fb5a7a38-64e5-4814-889a-ca9bcf12ee27_%281%29_570x570.jpg', '20190401_083116_%281%29_570x570.jpg', '18.07.2012-014_570x570.jpg', '102944_1_570x570.jpg', '107177_1_570x570.jpg', '112299_570x570.jpg', '108112_1_570x570.jpg', '111176_570x570.jpg', '1_%2884%29_570x570.jpg', '111278_570x570.jpg', '110060_1_570x570.jpg', '111221_570x570.jpg', '20180222_155614_570x570.jpg', '111437_570x570.jpg', '30.09.2015-008_570x570.jpg', '103415_570x570.jpg', '20220603_131110-kopie_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/12/2211-5434-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2211-5434-b.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2211-5434-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/11/2009-481-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2009-481-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2009-481-c-600x450.jpg']"", '111955_570x570.jpg', '20230213_092454_570x570.jpg', 'f3_570x570.jpg', '111914_570x570.jpg', '109337_570x570.jpg', '109332_570x570.jpg', '_dsc0336_570x570.jpg', '112107_570x570.jpg', 'img_9251_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/03/2211-5434-a-5-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/03/2211-5434-b-5.jpg', 'https://materiuum.ch/wp-content/uploads/2023/03/2211-5434-c-5.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/03/2009-481-a-3-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/03/2009-481-b-3-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/03/2009-481-c-3-600x450.jpg']"", 'img_4088_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5754-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5754-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5754-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5802-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5802-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5775-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5775-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5775-c-600x800.jpg']"", 'img_20230518_172929_570x570.jpg', 'moderna_570x570.png', 'img_8144_570x570.jpg', '997e6a25-2cc6-4c5e-88e5-9da95909c643_570x570.jpg', 'img_20230518_172929_570x570.jpg', '3048-2_570x570.jpg', 'moderna_570x570.png', 'img_8144_570x570.jpg', '997e6a25-2cc6-4c5e-88e5-9da95909c643_570x570.jpg', '1_%28448%29_570x570.jpg', '3049-2_570x570.jpg', 'bild2_%281%29_570x570.jpg', 'img_2314_570x570.jpg', 'img_1230_570x570.jpg', 'schiebetrschrank_570x570.jpg']",63.0,3.0,66.0
66,Glass fins,Pr_25_71_33_34,118.4090909090909,22,Pr_25_71,Pr_25_71,"Rigid board, panel, sheet and sectional products","[nan, '20200707_175013_570x570.jpg', '20181212_102133_570x570.jpg', '20211001_082455_570x570.jpg', '20220303_101211_570x570.jpg', '20200323_153458_570x570.jpg', '20210831_163219_570x570.jpg', '20170225_114053_570x570.jpg', '20.03.2014-024a_570x570.jpg', '106657_570x570.jpg', '111847_570x570.jpg', '20150626_161610a_570x570.jpg', '110112_1_570x570.jpg', '111998_570x570.jpg', '2808_2_570x570.jpg', 'img20221013074751_570x570.jpg', '2809_2_570x570.jpg', '20230227_145935_570x570.jpg', 'porte1_570x570.jpg', '20230116_142247_570x570.jpg', '112172_570x570.jpg', '112173_570x570.jpg', '113334_570x570.jpg', '113333_570x570.jpg', '113332_570x570.jpg']",52.0,15.0,67.0
341,Double window steam sight glasses,Pr_65_52_34_24,99.15384615384616,13,Pr_65_52,Pr_65_52,"Pipe, tube and fitting products","['2802_1_570x570.jpg', '2797_2_570x570.jpg', '2789_2_570x570.jpg', '2790_2_570x570.jpg', '2792_2_570x570.jpg', '2794_2_%281%29_570x570.jpg', '2791_2_570x570.jpg', '2795_2_570x570.jpg', '2799_2_570x570.jpg', '2798_2_570x570.jpg', '2806_2_570x570.jpg', '2876-2_570x570.jpg', '2875-2_570x570.jpg']",36.0,31.0,67.0
137,Glass brise-soleil louvre blades,Pr_30_59_09_33,69.22222222222223,9,Pr_30_59,Pr_30_59,Openings and opening component products,"[nan, '20210614_152413a_570x570.jpg', '20220531_153840_570x570.jpg', '20230116_142247_570x570.jpg', 'img-20221219-wa0038-kopie_570x570.jpg', '112048_570x570.jpg', '1128c19e-daf5-49e1-a14f-eca75c7e7b4e_%281%29_570x570.jpg', '_dsc0652_570x570.jpg', 'img_4277_570x570.jpg', 'img_4277_570x570.jpg']",18.0,49.0,67.0
87,chute conveyor,IfcConveyorSegment.CHUTECONVEYOR,104.85714285714286,14,IfcConveyorSegment.CHUTECONVEYOR,,,"['wc1_570x570.png', '20181015_115511_570x570.jpg', '1a_570x570.jpg', 'whatsapp-image-2022-03-01-at-17.22.05_570x570.jpeg', '20181026_150642_570x570.jpg', '1_%28325%29_570x570.jpg', 'hintergrund-horizontal-neu_%285%29_570x570.png', '1_%28326%29_570x570.jpg', '1_%28329%29_570x570.jpg', '_dsc0059_570x570.jpg', '_dsc0027_570x570.jpg', '112098_570x570.jpg', '_dsc0352_570x570.jpg', '1_%28389%29_570x570.jpg']",38.0,29.0,67.0
150,table,IfcFurniture.TABLE,43.142857142857146,7,IfcFurniture.TABLE,,,"['2685_1_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/11/2209-4957-a-1-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2209-4957-b-2-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2209-4957-c-2-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/11/2211-5408-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2211-5408-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/10/2203-3845-b-80-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2203-3845-a-80-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2203-3845-b-81-600x450.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5749-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5749-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5749-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5745-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5745-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5762-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5762-b-600x450.jpg']"", '113961_570x570.jpg', '113962_570x570.jpg', '113314_570x570.jpg']",11.0,58.0,69.0
2,Radiators,Pr_70_60_36_73,150.8490566037736,53,Pr_70_60,Pr_70_60,Space heating and cooling products,"['1_%2812%29_570x570.png', 'unbenannt_%289%29_570x570.jpg', '20200610_171550_570x570.jpg', '1_%28104%29_570x570.jpg', '1a_570x570.png', '1_%28126%29_570x570.jpg', '1_%2823%29_570x570.png', '1_%2822%29_570x570.png', '1_%2818%29_570x570.png', 'sam_5275_570x570.jpg', '1.1_%283%29_570x570.jpg', nan, 'dsc00970_570x570.jpg', 'dsc00970_%281%29_570x570.jpg', 'dsc00970_%282%29_570x570.jpg', '20211006_151018_570x570.jpg', '20220518_161846_570x570.jpg', '2_%28148%29_570x570.jpg', '1_%28185%29_570x570.jpg', '1_%286%29_570x570.png', 'img_6271_570x570.jpg', '1_%28125%29_570x570.jpg', '1_%28231%29_570x570.jpg', '1_%28232%29_570x570.jpg', 'img_20220824_1059590_570x570.jpg', 'img_20220824_1103374_570x570.jpg', 'img_20220824_1110328_570x570.jpg', 'img_20220824_1108439_570x570.jpg', 'img_20220824_1111564_570x570.jpg', 'img_20220824_1118273_570x570.jpg', 'img_20220824_1114362_570x570.jpg', 'img_20220824_1124254_570x570.jpg', '1_%28275%29_570x570.jpg', '111344_570x570.jpg', '1_%28238%29_570x570.jpg', '1_%28237%29_570x570.jpg', '1_%28236%29_570x570.jpg', 'img_8995_570x570.jpg', '1_%28235%29_570x570.jpg', '1_%28234%29_570x570.jpg', '1_%28274%29_570x570.jpg', '1_%28276%29_570x570.jpg', '20220810_111407-kopiert_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/01/2212-5458-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2212-5458-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2212-5458-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/12/2208-4721-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2208-4721-b.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2208-4721-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/11/2208-4808-a-2-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4808-b-2.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2208-4808-c-2.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/10/2112-2788-b-81-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2112-2788-a-81-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2112-2788-b-82-600x800.jpg']"", 'e1c5d632-2580-447e-8d2b-2a722afc609e_570x570.jpg', '112113_570x570.jpg', '1_%28381%29_570x570.jpg', '1_%28383%29_570x570.jpg', '1_%28401%29_570x570.jpg', '1_%28400%29_570x570.jpg', 'radiator2_%281%29_570x570.jpg', '1_%28401%29_570x570.jpg', '1_%28400%29_570x570.jpg']",68.0,4.0,72.0
108,Refrigerators,Pr_40_70_26_72,18.166666666666668,6,Pr_40_70,Pr_40_70,Equipment,"[nan, '2819_2_570x570.jpg', '112387_570x570.jpg', '112561_570x570.jpg', '113503_570x570.jpg', '3027-2_570x570.jpg', 'ks_vorne_570x570.jpg']",3.0,69.0,72.0
61,Metal sways,Pr_20_29_87_52,88.3,10,Pr_20_29,Pr_20_29,Fastener products,"['dsc00365_570x570.jpg', nan, '20200701_110117_570x570.jpg', '111259_570x570.jpg', '123_%281%29_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/12/2212-5438-a-600x450.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/01/2301-5562-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5562-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/01/2209-5005-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2209-5005-b.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2209-5005-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2304-6327-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2304-6327-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2304-6327-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5789-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5789-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5789-c-600x800.jpg']"", 'img_4545_570x570.jpg']",29.0,44.0,73.0
205,electric  appliance,IfcElectricAppliance,109.07692307692308,13,IfcElectricAppliance,,,"['img_20220607_0835191_570x570.jpg', '2315_1_570x570.jpg', '2573_1_570x570.jpg', '20200518_113742_570x570.jpg', '20190319_171002_1_570x570.jpg', '2574_1_570x570.jpg', '1_%28240%29_570x570.jpg', '1_%28300%29_570x570.jpg', '2766_2_570x570.jpg', '2957_1_570x570.jpg', '112035_570x570.jpg', '2925-2_570x570.jpg', '2988-2_570x570.jpg', '112185_570x570.jpg', '113104_570x570.jpg', '3083-4_570x570.jpg', '_dsc0113_570x570.jpg', '1_%28527%29_570x570.jpg', 'einbauksoffen1_570x570.jpg']",43.0,31.0,74.0
31,Pendant luminaires,Pr_70_70_48_62,141.58695652173913,46,Pr_70_70,Pr_70_70,Power and lighting outlet products,"['img_2282-%282%29_570x570.jpg', '20200309_091505_570x570.jpg', 'dsc00789_570x570.jpg', nan, '1_%28120%29_570x570.jpg', '20180612_141635_570x570.jpg', 'hintergrund-mit-text_570x570.png', nan, 'lampe_570x570.png', '5bac5ebe-55e2-48a3-83b2-b7ded158af62_570x570.jpeg', '20180927_160938_570x570.jpg', 'hintergrund-horizontal-neu_%2810%29_570x570.jpg', '112237_570x570.jpg', 'img_20220824_0944343_570x570.jpg', '112398_570x570.jpg', '112240_570x570.jpg', '111665_570x570.jpg', '107896_1_570x570.jpg', '111871_570x570.jpg', '110103_1_570x570.jpg', '111402_570x570.jpg', '111846_570x570.jpg', '20170928_112338_570x570.jpg', '20210521_090859_570x570.jpg', '20170906_142029_570x570.jpg', '20170906_142949_570x570.jpg', '20170906_143816_570x570.jpg', '20170904_135756_570x570.jpg', '20170105_170439_570x570.jpg', '123a_%281%29_570x570.jpg', '20161214_141938_570x570.jpg', 'img_6915a_570x570.jpg', '21.07.2010-046_570x570.jpg', '112344_570x570.jpg', '112413_570x570.jpg', '16022011005_570x570.jpg', '112032_570x570.jpg', '112094_2_570x570.jpg', '112102_570x570.jpg', '112093_570x570.jpg', '111281_570x570.jpg', '112092_570x570.jpg', '1_21_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5748-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5748-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5748-c-600x800.jpg']"", '20230410_120751_570x570.jpg', 'image_%2810%29_570x570.jpg', '04.12.09-024_570x570.jpg', 'image_%2810%29_570x570.jpg', '3098-2_570x570.jpg']",66.0,8.0,74.0
99,Wood brise-soleil louvre blades,Pr_30_59_09_91,84.44444444444444,9,Pr_30_59,Pr_30_59,Openings and opening component products,"['hauptbild-kuche_570x570.jpg', nan, 'img_20220824_1044543_570x570.jpg', 'img_20220824_1044543_%281%29_570x570.jpg', 'img_20220824_1044543_%282%29_570x570.jpg', 'img_20220824_1050541_570x570.jpg', 'img_20220824_1044543_%283%29_570x570.jpg', 'img_20220824_1050541_%281%29_570x570.jpg', 'img_20220824_1126002_%282%29_570x570.jpg']",27.0,49.0,76.0
112,Vanity and washroom furniture,Pr_40_20_76_95,88.11111111111111,9,Pr_40_20,Pr_40_20,Sanitary fittings and accessories,"[nan, nan, 'img_9797_570x570.jpg', 'loosli-unterbaumobel-grafik_570x570.jpg', '111690_570x570.jpg', 'doppelwaschtisch_570x570.jpg', 'waschtisch_570x570.jpg', '2880-2_%281%29_570x570.jpg', '20230312_bad_570x570.jpg', 'badezimmermobelfoto_570x570.jpg']",28.0,49.0,77.0
119,steam,IfcBoiler.STEAM,81.71428571428571,7,IfcBoiler.STEAM,,,"[nan, '110993_570x570.jpg', 'dsc02967_570x570.jpg', '_dsc9624_570x570.jpg', 'screenshot2023-01-25162619_570x570.png', '2859_4_%281%29_570x570.jpg', '3017-2_570x570.jpg', '3017-2_570x570.jpg', 'front_%2817%29_570x570.jpg', 'front_%2812%29_570x570.jpg']",22.0,58.0,80.0
