UNICLASS,PRICE_NEW
Pr_20_76_08_15,10.721428571428572
Pr_20_76_08_17,13.8125
Pr_20_76_08_18,23.21666666666667
Pr_20_76_08_51,29.95
Pr_20_76_08_52,7.95
Pr_20_76_08_60,29.95
Pr_20_76_08_63,4.633333333333334
Pr_20_76_08_65,11.466666666666667
Pr_20_76_08_83,14.725
Pr_20_76_08_85,94.475
Pr_20_76_08_86,6.5
Pr_20_76_51,35.0
Pr_20_76_51_01,179.0
Pr_20_76_51_04,16.5
Pr_20_76_51_07,7.725
Pr_20_76_51_10,489.95
Pr_20_76_51_19,16.45
Pr_20_76_51_21,55.95
Pr_20_76_51_22,23.633333333333336
Pr_20_76_51_33,19.95
Pr_20_76_51_98,3.4125
Pr_20_76_52,10.419999999999998
Pr_20_76_52_01,92.64999999999999
Pr_20_76_52_03,49.949999999999996
Pr_20_76_52_85,12.266666666666666
Pr_20_76_63_30,27.475
Pr_20_76_63_35,12.225
Pr_20_76_64_53,489.95
Pr_20_76_64_95,214.45
Pr_20_76_64_96,799.0
Pr_20_76_70_67,109.95
Pr_20_76_71_87,10.733333333333333
Pr_20_76_78_12,13.95
Pr_20_76_88_32,33.95
Pr_20_76_88_36,56.28333333333334
Pr_20_76_88_44,6.3625
Pr_20_76_88_49,36.95
Pr_20_76_92,5.5600000000000005
Pr_20_85_03,36.975
Pr_20_85_03_02,13.690000000000001
Pr_20_85_03_33,27.425
Pr_20_85_03_84,6.5
Pr_20_85_06_06,7.5
Pr_20_85_08_36,33.45
Pr_20_85_08_50,89.95
Pr_20_85_08_82,19.95
Pr_20_85_09_03,10.95
Pr_20_85_09_24,8.75
Pr_20_85_09_26,204.95
Pr_20_85_09_30,7.5
Pr_20_85_09_48,20.064999999999998
Pr_20_85_09_72,39.235
Pr_20_85_10_27,27.95
Pr_20_85_10_35,9.95
Pr_20_85_10_65,12.4
Pr_20_85_11_48,7.95
Pr_20_85_11_80,9.95
Pr_20_85_12_14,6.783333333333334
Pr_20_85_13_29,7.9
Pr_20_85_13_63,6.95
Pr_20_85_16_03,109.95
Pr_20_85_16_85,8.95
Pr_20_85_16_86,8.299999999999999
Pr_20_85_16_96,22.16
Pr_20_85_20,39.95
Pr_20_85_28_16,89.95
Pr_20_85_28_29,29.95
Pr_20_85_28_33,19.95
Pr_20_85_28_34,81.95
Pr_20_85_28_36,29.33571428571429
Pr_20_85_28_38,94.225
Pr_20_85_28_75,29.95
Pr_20_85_32_06,16.133333333333333
Pr_20_85_32_80,69.95
Pr_20_85_32_96,21.959999999999997
Pr_20_85_34_34,15.5
Pr_20_85_34_84,6.5
Pr_20_85_46_28,127.89000000000001
Pr_20_85_46_36,11.92142857142857
Pr_20_85_46_52,564.475
Pr_20_85_47_04,72.95666666666666
Pr_20_85_47_47,24.95
Pr_20_85_47_49,172.33333333333334
Pr_20_85_48,8.95
Pr_20_85_48_11,384.0
Pr_20_85_48_33,17.955000000000002
Pr_20_85_48_50,229.95
Pr_20_85_48_56,223.3166666666667
Pr_20_85_48_88,47.616666666666674
Pr_20_85_50_64,6.95
Pr_20_85_62_96,74.95
Pr_20_85_65,5.9
Pr_20_85_65_17,9.0
Pr_20_85_70_30,21.65
Pr_20_85_70_45,17.95
Pr_20_85_70_54,484.98333333333335
Pr_20_85_70_64,89.95
Pr_20_85_70_80,5.91
Pr_20_85_72_20,10.95
Pr_20_85_72_47,1.0
Pr_20_85_72_80,179.95
Pr_20_85_74_06,252.375
Pr_20_85_74_76,29.450000000000003
Pr_20_85_84_64,10.0
Pr_20_85_84_70,124.33333333333333
Pr_20_85_85_60,3.5
Pr_20_85_86_33,799.95
Pr_20_85_86_91,35.725
Pr_20_85_88_07,45.95
Pr_20_85_90_03,102.44999999999999
Pr_20_85_90_36,79.49315789473684
Pr_20_85_90_38,5.0
Pr_20_85_90_84,11.9
Pr_20_93_33_30,119.95
