,IFC,raw
1921,air terminal  box,IfcAirTerminalBox
1922,air terminal  box,IfcAirTerminalBox
1923,air terminal  box,IfcAirTerminalBox
1924,air terminal  box,IfcAirTerminalBox
1925,air terminal  box,IfcAirTerminalBox
1926,air to air heat  recovery,IfcAirToAirHeatRecovery
1927,air to air heat  recovery,IfcAirToAirHeatRecovery
1928,air to air heat  recovery,IfcAirToAirHeatRecovery
1929,air to air heat  recovery,IfcAirToAirHeatRecovery
1930,air to air heat  recovery,IfcAirToAirHeatRecovery
1931,air to air heat  recovery,IfcAirToAirHeatRecovery
1932,air to air heat  recovery,IfcAirToAirHeatRecovery
1933,air to air heat  recovery,IfcAirToAirHeatRecovery
1934,air to air heat  recovery,IfcAirToAirHeatRecovery
1935,air to air heat  recovery,IfcAirToAirHeatRecovery
1936,air to air heat  recovery,IfcAirToAirHeatRecovery
1937,boiler,IfcBoiler
1938,boiler,IfcBoiler
1939,boiler,IfcBoiler
1940,boiler,IfcBoiler
1941,burner,IfcBurner
1942,burner,IfcBurner
1943,chiller,IfcChiller
1944,chiller,IfcChiller
1945,chiller,IfcChiller
1946,chiller,IfcChiller
1947,chiller,IfcChiller
1948,coil,IfcCoil
1949,coil,IfcCoil
1950,coil,IfcCoil
1951,coil,IfcCoil
1952,coil,IfcCoil
1953,coil,IfcCoil
1954,coil,IfcCoil
1955,coil,IfcCoil
1956,coil,IfcCoil
1957,compressor,IfcCompressor
1958,compressor,IfcCompressor
1959,compressor,IfcCompressor
1960,compressor,IfcCompressor
1961,compressor,IfcCompressor
1962,compressor,IfcCompressor
1963,compressor,IfcCompressor
1964,compressor,IfcCompressor
1965,compressor,IfcCompressor
1966,compressor,IfcCompressor
1967,compressor,IfcCompressor
1968,compressor,IfcCompressor
1969,compressor,IfcCompressor
1970,compressor,IfcCompressor
1971,compressor,IfcCompressor
1972,compressor,IfcCompressor
1973,compressor,IfcCompressor
1974,condenser,IfcCondenser
1975,condenser,IfcCondenser
1976,condenser,IfcCondenser
1977,condenser,IfcCondenser
1978,condenser,IfcCondenser
1979,condenser,IfcCondenser
1980,condenser,IfcCondenser
1981,condenser,IfcCondenser
1982,condenser,IfcCondenser
1983,cooled  beam,IfcCooledBeam
1984,cooled  beam,IfcCooledBeam
1985,cooled  beam,IfcCooledBeam
1986,cooled  beam,IfcCooledBeam
1987,cooling  tower,IfcCoolingTower
1988,cooling  tower,IfcCoolingTower
1989,cooling  tower,IfcCoolingTower
1990,cooling  tower,IfcCoolingTower
1991,cooling  tower,IfcCoolingTower
1992,damper,IfcDamper
1993,damper,IfcDamper
1994,damper,IfcDamper
1995,damper,IfcDamper
1996,damper,IfcDamper
1997,damper,IfcDamper
1998,damper,IfcDamper
1999,damper,IfcDamper
2000,damper,IfcDamper
2001,damper,IfcDamper
2002,damper,IfcDamper
2003,damper,IfcDamper
2004,damper,IfcDamper
2005,duct  fitting,IfcDuctFitting
2006,duct  fitting,IfcDuctFitting
2007,duct  fitting,IfcDuctFitting
2008,duct  fitting,IfcDuctFitting
2009,duct  fitting,IfcDuctFitting
2010,duct  fitting,IfcDuctFitting
2011,duct  fitting,IfcDuctFitting
2012,duct  fitting,IfcDuctFitting
2013,duct  fitting,IfcDuctFitting
2014,duct  segment,IfcDuctSegment
2015,duct  segment,IfcDuctSegment
2016,duct  segment,IfcDuctSegment
2017,duct  segment,IfcDuctSegment
2018,duct  silencer,IfcDuctSilencer
2019,duct  silencer,IfcDuctSilencer
2020,duct  silencer,IfcDuctSilencer
2021,duct  silencer,IfcDuctSilencer
2022,duct  silencer,IfcDuctSilencer
2023,engine,IfcEngine
2024,engine,IfcEngine
2025,engine,IfcEngine
2026,engine,IfcEngine
2027,evaporative  cooler,IfcEvaporativeCooler
2028,evaporative  cooler,IfcEvaporativeCooler
2029,evaporative  cooler,IfcEvaporativeCooler
2030,evaporative  cooler,IfcEvaporativeCooler
2031,evaporative  cooler,IfcEvaporativeCooler
2032,evaporative  cooler,IfcEvaporativeCooler
2033,evaporative  cooler,IfcEvaporativeCooler
2034,evaporative  cooler,IfcEvaporativeCooler
2035,evaporative  cooler,IfcEvaporativeCooler
2036,evaporative  cooler,IfcEvaporativeCooler
2037,evaporative  cooler,IfcEvaporativeCooler
2038,evap orator,IfcEvaporator
2039,evap orator,IfcEvaporator
2040,evap orator,IfcEvaporator
2041,evap orator,IfcEvaporator
2042,evap orator,IfcEvaporator
2043,evap orator,IfcEvaporator
2044,evap orator,IfcEvaporator
2045,evap orator,IfcEvaporator
2046,fan,IfcFan
2047,fan,IfcFan
2048,fan,IfcFan
2049,fan,IfcFan
2050,fan,IfcFan
2051,fan,IfcFan
2052,fan,IfcFan
2053,fan,IfcFan
2054,fan,IfcFan
2055,filter,IfcFilter
2056,filter,IfcFilter
2057,filter,IfcFilter
2058,filter,IfcFilter
2059,filter,IfcFilter
2060,filter,IfcFilter
2061,filter,IfcFilter
2062,filter,IfcFilter
2063,flow  meter,IfcFlowMeter
2064,flow  meter,IfcFlowMeter
2065,flow  meter,IfcFlowMeter
2066,flow  meter,IfcFlowMeter
2067,flow  meter,IfcFlowMeter
2068,flow  meter,IfcFlowMeter
2069,heat  exchanger,IfcHeatExchanger
2070,heat  exchanger,IfcHeatExchanger
2071,heat  exchanger,IfcHeatExchanger
2072,heat  exchanger,IfcHeatExchanger
2073,heat  exchanger,IfcHeatExchanger
2074,humidif ier,IfcHumidifier
2075,humidif ier,IfcHumidifier
2076,humidif ier,IfcHumidifier
2077,humidif ier,IfcHumidifier
2078,humidif ier,IfcHumidifier
2079,humidif ier,IfcHumidifier
2080,humidif ier,IfcHumidifier
2081,humidif ier,IfcHumidifier
2082,humidif ier,IfcHumidifier
2083,humidif ier,IfcHumidifier
2084,humidif ier,IfcHumidifier
2085,humidif ier,IfcHumidifier
2086,humidif ier,IfcHumidifier
2087,humidif ier,IfcHumidifier
2088,humidif ier,IfcHumidifier
2089,medical  device,IfcMedicalDevice
2090,medical  device,IfcMedicalDevice
2091,medical  device,IfcMedicalDevice
2092,medical  device,IfcMedicalDevice
2093,medical  device,IfcMedicalDevice
2094,medical  device,IfcMedicalDevice
2095,medical  device,IfcMedicalDevice
2096,pipe  fitting,IfcPipeFitting
2097,pipe  fitting,IfcPipeFitting
2098,pipe  fitting,IfcPipeFitting
2099,pipe  fitting,IfcPipeFitting
2100,pipe  fitting,IfcPipeFitting
2101,pipe  fitting,IfcPipeFitting
2102,pipe  fitting,IfcPipeFitting
2103,pipe  fitting,IfcPipeFitting
2104,pipe  fitting,IfcPipeFitting
2105,pipe  segment,IfcPipeSegment
2106,pipe  segment,IfcPipeSegment
2107,pipe  segment,IfcPipeSegment
2108,pipe  segment,IfcPipeSegment
2109,pipe  segment,IfcPipeSegment
2110,pipe  segment,IfcPipeSegment
2111,pipe  segment,IfcPipeSegment
2112,pump,IfcPump
2113,pump,IfcPump
2114,pump,IfcPump
2115,pump,IfcPump
2116,pump,IfcPump
2117,pump,IfcPump
2118,pump,IfcPump
2119,pump,IfcPump
2120,pump,IfcPump
2121,space  heater,IfcSpaceHeater
2122,space  heater,IfcSpaceHeater
2123,space  heater,IfcSpaceHeater
2124,space  heater,IfcSpaceHeater
2125,tank,IfcTank
2126,tank,IfcTank
2127,tank,IfcTank
2128,tank,IfcTank
2129,tank,IfcTank
2130,tank,IfcTank
2131,tank,IfcTank
2132,tank,IfcTank
2133,tank,IfcTank
2134,tank,IfcTank
2135,tube  bundle,IfcTubeBundle
2136,tube  bundle,IfcTubeBundle
2137,tube  bundle,IfcTubeBundle
2138,unitary  equipment,IfcUnitaryEquipment
2139,unitary  equipment,IfcUnitaryEquipment
2140,unitary  equipment,IfcUnitaryEquipment
2141,unitary  equipment,IfcUnitaryEquipment
2142,unitary  equipment,IfcUnitaryEquipment
2143,unitary  equipment,IfcUnitaryEquipment
2144,unitary  equipment,IfcUnitaryEquipment
2145,valve,IfcValve
2146,valve,IfcValve
2147,valve,IfcValve
2148,valve,IfcValve
2149,valve,IfcValve
2150,valve,IfcValve
2151,valve,IfcValve
2152,valve,IfcValve
2153,valve,IfcValve
2154,valve,IfcValve
2155,valve,IfcValve
2156,valve,IfcValve
2157,valve,IfcValve
2158,valve,IfcValve
2159,valve,IfcValve
2160,valve,IfcValve
2161,valve,IfcValve
2162,valve,IfcValve
2163,valve,IfcValve
2164,valve,IfcValve
2165,valve,IfcValve
2166,valve,IfcValve
2167,valve,IfcValve
2168,vibration isola tor,IfcVibrationIsolator
2169,vibration isola tor,IfcVibrationIsolator
2170,vibration isola tor,IfcVibrationIsolator
2171,vibration isola tor,IfcVibrationIsolator
2172,vibration isola tor,IfcVibrationIsolator
2173,fire suppression  terminal,IfcFireSuppressionTerminal
2174,fire suppression  terminal,IfcFireSuppressionTerminal
2175,fire suppression  terminal,IfcFireSuppressionTerminal
2176,fire suppression  terminal,IfcFireSuppressionTerminal
2177,fire suppression  terminal,IfcFireSuppressionTerminal
2178,fire suppression  terminal,IfcFireSuppressionTerminal
2179,fire suppression  terminal,IfcFireSuppressionTerminal
2180,fire suppression  terminal,IfcFireSuppressionTerminal
2181,interceptor,IfcInterceptor
2182,interceptor,IfcInterceptor
2183,interceptor,IfcInterceptor
2184,interceptor,IfcInterceptor
2185,interceptor,IfcInterceptor
2186,interceptor,IfcInterceptor
2187,sanitary  terminal,IfcSanitaryTerminal
2188,sanitary  terminal,IfcSanitaryTerminal
2189,sanitary  terminal,IfcSanitaryTerminal
2190,sanitary  terminal,IfcSanitaryTerminal
2191,sanitary  terminal,IfcSanitaryTerminal
2192,sanitary  terminal,IfcSanitaryTerminal
2193,sanitary  terminal,IfcSanitaryTerminal
2194,sanitary  terminal,IfcSanitaryTerminal
2195,sanitary  terminal,IfcSanitaryTerminal
2196,sanitary  terminal,IfcSanitaryTerminal
2197,sanitary  terminal,IfcSanitaryTerminal
2198,sanitary  terminal,IfcSanitaryTerminal
2199,stack  terminal,IfcStackTerminal
2200,stack  terminal,IfcStackTerminal
2201,stack  terminal,IfcStackTerminal
2202,stack  terminal,IfcStackTerminal
2203,stack  terminal,IfcStackTerminal
2204,waste  terminal,IfcWasteTerminal
2205,waste  terminal,IfcWasteTerminal
2206,waste  terminal,IfcWasteTerminal
2207,waste  terminal,IfcWasteTerminal
2208,waste  terminal,IfcWasteTerminal
2209,waste  terminal,IfcWasteTerminal
2210,waste  terminal,IfcWasteTerminal
2211,waste  terminal,IfcWasteTerminal
2212,waste  terminal,IfcWasteTerminal
2213,conveyor  segment,IfcConveyorSegment
2214,conveyor  segment,IfcConveyorSegment
2215,conveyor  segment,IfcConveyorSegment
2216,conveyor  segment,IfcConveyorSegment
2217,conveyor  segment,IfcConveyorSegment
2218,conveyor  segment,IfcConveyorSegment
2219,liquid  terminal,IfcLiquidTerminal
2220,liquid  terminal,IfcLiquidTerminal
2221,liquid  terminal,IfcLiquidTerminal
2222,liquid  terminal,IfcLiquidTerminal
2223,marine  facility,IfcMarineFacility
2224,marine  facility,IfcMarineFacility
2225,marine  facility,IfcMarineFacility
2226,marine  facility,IfcMarineFacility
2227,marine  facility,IfcMarineFacility
2228,marine  facility,IfcMarineFacility
2229,marine  facility,IfcMarineFacility
2230,marine  facility,IfcMarineFacility
2231,marine  facility,IfcMarineFacility
2232,marine  facility,IfcMarineFacility
2233,marine  facility,IfcMarineFacility
2234,marine  facility,IfcMarineFacility
2235,marine  facility,IfcMarineFacility
2236,marine  facility,IfcMarineFacility
2237,marine  facility,IfcMarineFacility
2238,marine  facility,IfcMarineFacility
2239,marine  facility,IfcMarineFacility
2240,marine  facility,IfcMarineFacility
2241,marine  facility,IfcMarineFacility
2242,marine  facility,IfcMarineFacility
2243,marine  facility,IfcMarineFacility
2244,marine  part,IfcMarinePart
2245,marine  part,IfcMarinePart
2246,marine  part,IfcMarinePart
2247,marine  part,IfcMarinePart
2248,marine  part,IfcMarinePart
2249,marine  part,IfcMarinePart
2250,marine  part,IfcMarinePart
2251,marine  part,IfcMarinePart
2252,marine  part,IfcMarinePart
2253,marine  part,IfcMarinePart
2254,marine  part,IfcMarinePart
2255,marine  part,IfcMarinePart
2256,marine  part,IfcMarinePart
2257,marine  part,IfcMarinePart
2258,marine  part,IfcMarinePart
2259,marine  part,IfcMarinePart
2260,marine  part,IfcMarinePart
2261,marine  part,IfcMarinePart
2262,marine  part,IfcMarinePart
2263,marine  part,IfcMarinePart
2264,marine  part,IfcMarinePart
2265,marine  part,IfcMarinePart
2266,marine  part,IfcMarinePart
2267,marine  part,IfcMarinePart
2268,marine  part,IfcMarinePart
2269,marine  part,IfcMarinePart
2270,mooring  device,IfcMooringDevice
2271,mooring  device,IfcMooringDevice
2272,mooring  device,IfcMooringDevice
2273,mooring  device,IfcMooringDevice
2274,mooring  device,IfcMooringDevice
2275,mooring  device,IfcMooringDevice
2276,mooring  device,IfcMooringDevice
2277,navigation  element,IfcNavigationElement
2278,navigation  element,IfcNavigationElement
2279,navigation  element,IfcNavigationElement
2280,navigation  element,IfcNavigationElement
2281,task,IfcTask
2282,alignment,IfcAlignment
2283,alignment,IfcAlignment
2284,annotation,IfcAnnotation
2285,annotation,IfcAnnotation
2286,annotation,IfcAnnotation
2287,annotation,IfcAnnotation
2288,annotation,IfcAnnotation
2289,annotation,IfcAnnotation
2290,annotation,IfcAnnotation
2291,annotation,IfcAnnotation
2292,annotation,IfcAnnotation
2293,annotation,IfcAnnotation
2294,annotation,IfcAnnotation
2295,bridge,IfcBridge
2296,bridge,IfcBridge
2297,bridge,IfcBridge
2298,bridge,IfcBridge
2299,bridge,IfcBridge
2300,bridge,IfcBridge
2301,bridge,IfcBridge
2302,bridge,IfcBridge
2303,bridge,IfcBridge
2304,bridge,IfcBridge
2305,bridge  part,IfcBridgePart
2306,bridge  part,IfcBridgePart
2307,bridge  part,IfcBridgePart
2308,bridge  part,IfcBridgePart
2309,bridge  part,IfcBridgePart
2310,bridge  part,IfcBridgePart
2311,bridge  part,IfcBridgePart
2312,bridge  part,IfcBridgePart
2313,bridge  part,IfcBridgePart
2314,bridge  part,IfcBridgePart
2315,bridge  part,IfcBridgePart
2316,bridge  part,IfcBridgePart
2317,built  system,IfcBuiltSystem
2318,built  system,IfcBuiltSystem
2319,element  assembly,IfcElementAssembly
2320,element  assembly,IfcElementAssembly
2321,element  assembly,IfcElementAssembly
2322,element  assembly,IfcElementAssembly
2323,element  assembly,IfcElementAssembly
2324,element  assembly,IfcElementAssembly
2325,element  assembly,IfcElementAssembly
2326,element  assembly,IfcElementAssembly
2327,element  assembly,IfcElementAssembly
2328,element  assembly,IfcElementAssembly
2329,element  assembly,IfcElementAssembly
2330,element  assembly,IfcElementAssembly
2331,element  assembly,IfcElementAssembly
2332,element  assembly,IfcElementAssembly
2333,element  assembly,IfcElementAssembly
2334,element  assembly,IfcElementAssembly
2335,element  assembly,IfcElementAssembly
2336,element  assembly,IfcElementAssembly
2337,element  assembly,IfcElementAssembly
2338,element  assembly,IfcElementAssembly
2339,element  assembly,IfcElementAssembly
2340,element  assembly,IfcElementAssembly
2341,element  assembly,IfcElementAssembly
2342,element  assembly,IfcElementAssembly
2343,element  assembly,IfcElementAssembly
2344,element  assembly,IfcElementAssembly
2345,element  assembly,IfcElementAssembly
2346,element  assembly,IfcElementAssembly
2347,element  assembly,IfcElementAssembly
2348,element  assembly,IfcElementAssembly
2349,external spatial  element,IfcExternalSpatialElement
2350,external spatial  element,IfcExternalSpatialElement
2351,external spatial  element,IfcExternalSpatialElement
2352,external spatial  element,IfcExternalSpatialElement
2353,external spatial  element,IfcExternalSpatialElement
2354,external spatial  element,IfcExternalSpatialElement
2355,facility part  common,IfcFacilityPartCommon
2356,facility part  common,IfcFacilityPartCommon
2357,facility part  common,IfcFacilityPartCommon
2358,facility part  common,IfcFacilityPartCommon
2359,facility part  common,IfcFacilityPartCommon
2360,facility part  common,IfcFacilityPartCommon
2361,facility part  common,IfcFacilityPartCommon
2362,facility part  common,IfcFacilityPartCommon
2363,facility part  common,IfcFacilityPartCommon
2364,facility part  common,IfcFacilityPartCommon
2365,geographic  element,IfcGeographicElement
2366,geographic  element,IfcGeographicElement
2367,geographic  element,IfcGeographicElement
2368,geographic  element,IfcGeographicElement
2369,geographic  element,IfcGeographicElement
2370,grid,IfcGrid
2371,grid,IfcGrid
2372,grid,IfcGrid
2373,grid,IfcGrid
2374,grid,IfcGrid
2375,grid,IfcGrid
2376,impact protection  device,IfcImpactProtectionDevice
2377,impact protection  device,IfcImpactProtectionDevice
2378,impact protection  device,IfcImpactProtectionDevice
2379,impact protection  device,IfcImpactProtectionDevice
2380,impact protection  device,IfcImpactProtectionDevice
2381,impact protection  device,IfcImpactProtectionDevice
2382,opening  element,IfcOpeningElement
2383,opening  element,IfcOpeningElement
2384,opening  element,IfcOpeningElement
2385,opening  element,IfcOpeningElement
2386,projection  element,IfcProjectionElement
2387,projection  element,IfcProjectionElement
2388,projection  element,IfcProjectionElement
2389,projection  element,IfcProjectionElement
2390,referent,IfcReferent
2391,referent,IfcReferent
2392,referent,IfcReferent
2393,referent,IfcReferent
2394,referent,IfcReferent
2395,referent,IfcReferent
2396,referent,IfcReferent
2397,referent,IfcReferent
2398,referent,IfcReferent
2399,referent,IfcReferent
2400,space,IfcSpace
2401,space,IfcSpace
2402,space,IfcSpace
2403,space,IfcSpace
2404,space,IfcSpace
2405,space,IfcSpace
2406,space,IfcSpace
2407,space,IfcSpace
2408,spatial  zone,IfcSpatialZone
2409,spatial  zone,IfcSpatialZone
2410,spatial  zone,IfcSpatialZone
2411,spatial  zone,IfcSpatialZone
2412,spatial  zone,IfcSpatialZone
2413,spatial  zone,IfcSpatialZone
2414,spatial  zone,IfcSpatialZone
2415,spatial  zone,IfcSpatialZone
2416,spatial  zone,IfcSpatialZone
2417,spatial  zone,IfcSpatialZone
2418,spatial  zone,IfcSpatialZone
2419,spatial  zone,IfcSpatialZone
2420,transport  element,IfcTransportElement
2421,transport  element,IfcTransportElement
2422,transport  element,IfcTransportElement
2423,transport  element,IfcTransportElement
2424,transport  element,IfcTransportElement
2425,transport  element,IfcTransportElement
2426,transport  element,IfcTransportElement
2427,transport  element,IfcTransportElement
2428,vehicle,IfcVehicle
2429,vehicle,IfcVehicle
2430,vehicle,IfcVehicle
2431,vehicle,IfcVehicle
2432,vehicle,IfcVehicle
2433,vehicle,IfcVehicle
2434,vehicle,IfcVehicle
2435,vehicle,IfcVehicle
2436,vehicle,IfcVehicle
2437,vibration  damper,IfcVibrationDamper
2438,vibration  damper,IfcVibrationDamper
2439,vibration  damper,IfcVibrationDamper
2440,vibration  damper,IfcVibrationDamper
2441,vibration  damper,IfcVibrationDamper
2442,vibration  damper,IfcVibrationDamper
2443,vibration  damper,IfcVibrationDamper
2444,vibration  damper,IfcVibrationDamper
2445,virtual  element,IfcVirtualElement
2446,virtual  element,IfcVirtualElement
2447,virtual  element,IfcVirtualElement
2448,virtual  element,IfcVirtualElement
2449,virtual  element,IfcVirtualElement
2450,rail,IfcRail
2451,rail,IfcRail
2452,rail,IfcRail
2453,rail,IfcRail
2454,rail,IfcRail
2455,rail,IfcRail
2456,rail,IfcRail
2457,rail,IfcRail
2458,railway,IfcRailway
2459,railway,IfcRailway
2460,railway  part,IfcRailwayPart
2461,railway  part,IfcRailwayPart
2462,railway  part,IfcRailwayPart
2463,railway  part,IfcRailwayPart
2464,railway  part,IfcRailwayPart
2465,railway  part,IfcRailwayPart
2466,railway  part,IfcRailwayPart
2467,railway  part,IfcRailwayPart
2468,railway  part,IfcRailwayPart
2469,railway  part,IfcRailwayPart
2470,track  element,IfcTrackElement
2471,track  element,IfcTrackElement
2472,track  element,IfcTrackElement
2473,track  element,IfcTrackElement
2474,track  element,IfcTrackElement
2475,track  element,IfcTrackElement
2476,track  element,IfcTrackElement
2477,track  element,IfcTrackElement
2478,track  element,IfcTrackElement
2479,track  element,IfcTrackElement
2480,kerb,IfcKerb
2481,kerb,IfcKerb
2482,road,IfcRoad
2483,road,IfcRoad
2484,road  part,IfcRoadPart
2485,road  part,IfcRoadPart
2486,road  part,IfcRoadPart
2487,road  part,IfcRoadPart
2488,road  part,IfcRoadPart
2489,road  part,IfcRoadPart
2490,road  part,IfcRoadPart
2491,road  part,IfcRoadPart
2492,road  part,IfcRoadPart
2493,road  part,IfcRoadPart
2494,road  part,IfcRoadPart
2495,road  part,IfcRoadPart
2496,road  part,IfcRoadPart
2497,road  part,IfcRoadPart
2498,road  part,IfcRoadPart
2499,road  part,IfcRoadPart
2500,road  part,IfcRoadPart
2501,road  part,IfcRoadPart
2502,road  part,IfcRoadPart
2503,road  part,IfcRoadPart
2504,road  part,IfcRoadPart
2505,road  part,IfcRoadPart
2506,road  part,IfcRoadPart
2507,road  part,IfcRoadPart
2508,road  part,IfcRoadPart
2509,road  part,IfcRoadPart
2510,beam,IfcBeam
2511,beam,IfcBeam
2512,beam,IfcBeam
2513,beam,IfcBeam
2514,beam,IfcBeam
2515,beam,IfcBeam
2516,beam,IfcBeam
2517,beam,IfcBeam
2518,beam,IfcBeam
2519,beam,IfcBeam
2520,beam,IfcBeam
2521,beam,IfcBeam
2522,beam,IfcBeam
2523,beam,IfcBeam
2524,bearing,IfcBearing
2525,bearing,IfcBearing
2526,bearing,IfcBearing
2527,bearing,IfcBearing
2528,bearing,IfcBearing
2529,bearing,IfcBearing
2530,bearing,IfcBearing
2531,bearing,IfcBearing
2532,bearing,IfcBearing
2533,bearing,IfcBearing
2534,building element  proxy,IfcBuildingElementProxy
2535,building element  proxy,IfcBuildingElementProxy
2536,building element  proxy,IfcBuildingElementProxy
2537,building element  proxy,IfcBuildingElementProxy
2538,building element  proxy,IfcBuildingElementProxy
2539,building element  proxy,IfcBuildingElementProxy
2540,building element  proxy,IfcBuildingElementProxy
2541,chimney,IfcChimney
2542,chimney,IfcChimney
2543,column,IfcColumn
2544,column,IfcColumn
2545,column,IfcColumn
2546,column,IfcColumn
2547,column,IfcColumn
2548,column,IfcColumn
2549,column,IfcColumn
2550,covering,IfcCovering
2551,covering,IfcCovering
2552,covering,IfcCovering
2553,covering,IfcCovering
2554,covering,IfcCovering
2555,covering,IfcCovering
2556,covering,IfcCovering
2557,covering,IfcCovering
2558,covering,IfcCovering
2559,covering,IfcCovering
2560,covering,IfcCovering
2561,covering,IfcCovering
2562,covering,IfcCovering
2563,covering,IfcCovering
2564,curtain  wall,IfcCurtainWall
2565,curtain  wall,IfcCurtainWall
2566,door,IfcDoor
2567,door,IfcDoor
2568,door,IfcDoor
2569,door,IfcDoor
2570,door,IfcDoor
2571,door,IfcDoor
2572,door,IfcDoor
2573,member,IfcMember
2574,member,IfcMember
2575,member,IfcMember
2576,member,IfcMember
2577,member,IfcMember
2578,member,IfcMember
2579,member,IfcMember
2580,member,IfcMember
2581,member,IfcMember
2582,member,IfcMember
2583,member,IfcMember
2584,member,IfcMember
2585,member,IfcMember
2586,member,IfcMember
2587,member,IfcMember
2588,member,IfcMember
2589,member,IfcMember
2590,member,IfcMember
2591,member,IfcMember
2592,member,IfcMember
2593,member,IfcMember
2594,plate,IfcPlate
2595,plate,IfcPlate
2596,plate,IfcPlate
2597,plate,IfcPlate
2598,plate,IfcPlate
2599,plate,IfcPlate
2600,plate,IfcPlate
2601,plate,IfcPlate
2602,plate,IfcPlate
2603,plate,IfcPlate
2604,plate,IfcPlate
2605,railing,IfcRailing
2606,railing,IfcRailing
2607,railing,IfcRailing
2608,railing,IfcRailing
2609,railing,IfcRailing
2610,railing,IfcRailing
2611,ramp,IfcRamp
2612,ramp,IfcRamp
2613,ramp,IfcRamp
2614,ramp,IfcRamp
2615,ramp,IfcRamp
2616,ramp,IfcRamp
2617,ramp,IfcRamp
2618,ramp,IfcRamp
2619,ramp  flight,IfcRampFlight
2620,ramp  flight,IfcRampFlight
2621,ramp  flight,IfcRampFlight
2622,ramp  flight,IfcRampFlight
2623,roof,IfcRoof
2624,roof,IfcRoof
2625,roof,IfcRoof
2626,roof,IfcRoof
2627,roof,IfcRoof
2628,roof,IfcRoof
2629,roof,IfcRoof
2630,roof,IfcRoof
2631,roof,IfcRoof
2632,roof,IfcRoof
2633,roof,IfcRoof
2634,roof,IfcRoof
2635,roof,IfcRoof
2636,roof,IfcRoof
2637,roof,IfcRoof
2638,shading  device,IfcShadingDevice
2639,shading  device,IfcShadingDevice
2640,shading  device,IfcShadingDevice
2641,shading  device,IfcShadingDevice
2642,shading  device,IfcShadingDevice
2643,slab,IfcSlab
2644,slab,IfcSlab
2645,slab,IfcSlab
2646,slab,IfcSlab
2647,slab,IfcSlab
2648,slab,IfcSlab
2649,slab,IfcSlab
2650,slab,IfcSlab
2651,slab,IfcSlab
2652,slab,IfcSlab
2653,slab,IfcSlab
2654,stair,IfcStair
2655,stair,IfcStair
2656,stair,IfcStair
2657,stair,IfcStair
2658,stair,IfcStair
2659,stair,IfcStair
2660,stair,IfcStair
2661,stair,IfcStair
2662,stair,IfcStair
2663,stair,IfcStair
2664,stair,IfcStair
2665,stair,IfcStair
2666,stair,IfcStair
2667,stair,IfcStair
2668,stair,IfcStair
2669,stair,IfcStair
2670,stair,IfcStair
2671,stair  flight,IfcStairFlight
2672,stair  flight,IfcStairFlight
2673,stair  flight,IfcStairFlight
2674,stair  flight,IfcStairFlight
2675,stair  flight,IfcStairFlight
2676,stair  flight,IfcStairFlight
2677,stair  flight,IfcStairFlight
2678,wall,IfcWall
2679,wall,IfcWall
2680,wall,IfcWall
2681,wall,IfcWall
2682,wall,IfcWall
2683,wall,IfcWall
2684,wall,IfcWall
2685,wall,IfcWall
2686,wall,IfcWall
2687,wall,IfcWall
2688,wall,IfcWall
2689,wall,IfcWall
2690,wall,IfcWall
2691,window,IfcWindow
2692,window,IfcWindow
2693,window,IfcWindow
2694,window,IfcWindow
2695,window,IfcWindow
2696,distribution chamber  element,IfcDistributionChamberElement
2697,distribution chamber  element,IfcDistributionChamberElement
2698,distribution chamber  element,IfcDistributionChamberElement
2699,distribution chamber  element,IfcDistributionChamberElement
2700,distribution chamber  element,IfcDistributionChamberElement
2701,distribution chamber  element,IfcDistributionChamberElement
2702,distribution chamber  element,IfcDistributionChamberElement
2703,distribution chamber  element,IfcDistributionChamberElement
2704,distribution chamber  element,IfcDistributionChamberElement
2705,distribution chamber  element,IfcDistributionChamberElement
2706,distribution  port,IfcDistributionPort
2707,distribution  port,IfcDistributionPort
2708,distribution  port,IfcDistributionPort
2709,distribution  port,IfcDistributionPort
2710,distribution  port,IfcDistributionPort
2711,distribution  port,IfcDistributionPort
2712,distribution  port,IfcDistributionPort
2713,distribution  system,IfcDistributionSystem
2714,distribution  system,IfcDistributionSystem
2715,distribution  system,IfcDistributionSystem
2716,building element  part,IfcBuildingElementPart
2717,building element  part,IfcBuildingElementPart
2718,building element  part,IfcBuildingElementPart
2719,building element  part,IfcBuildingElementPart
2720,building element  part,IfcBuildingElementPart
2721,building element  part,IfcBuildingElementPart
2722,building element  part,IfcBuildingElementPart
2723,discrete  accessory,IfcDiscreteAccessory
2724,discrete  accessory,IfcDiscreteAccessory
2725,discrete  accessory,IfcDiscreteAccessory
2726,discrete  accessory,IfcDiscreteAccessory
2727,discrete  accessory,IfcDiscreteAccessory
2728,discrete  accessory,IfcDiscreteAccessory
2729,discrete  accessory,IfcDiscreteAccessory
2730,discrete  accessory,IfcDiscreteAccessory
2731,discrete  accessory,IfcDiscreteAccessory
2732,discrete  accessory,IfcDiscreteAccessory
2733,discrete  accessory,IfcDiscreteAccessory
2734,discrete  accessory,IfcDiscreteAccessory
2735,discrete  accessory,IfcDiscreteAccessory
2736,discrete  accessory,IfcDiscreteAccessory
2737,discrete  accessory,IfcDiscreteAccessory
2738,discrete  accessory,IfcDiscreteAccessory
2739,discrete  accessory,IfcDiscreteAccessory
