,IFC,raw
1458,user defined,IfcGeotechnicalStratum.USERDEFINED
1459,not defined,IfcGeotechnicalStratum.NOTDEFINED
1460,flexible,IfcPavement.FLEXIBLE
1461,rigid,IfcPavement.RIGID
1462,user defined,IfcPavement.USERDEFINED
1463,not defined,IfcPavement.NOTDEFINED
1464,dynamically compacted,IfcReinforcedSoil.DYNAMICALLYCOMPACTED
1465,grouted,IfcReinforcedSoil.GROUTED
1466,replaced,IfcReinforcedSoil.REPLACED
1467,roller compacted,IfcReinforcedSoil.ROLLERCOMPACTED
1468,surchargep reloaded,IfcReinforcedSoil.SURCHARGEPRELOADED
1469,vertically drained,IfcReinforcedSoil.VERTICALLYDRAINED
1470,user defined,IfcReinforcedSoil.USERDEFINED
1471,not defined,IfcReinforcedSoil.NOTDEFINED
1472,marker,IfcSign.MARKER
1473,mirror,IfcSign.MIRROR
1474,pict oral,IfcSign.PICTORAL
1475,user defined,IfcSign.USERDEFINED
1476,not defined,IfcSign.NOTDEFINED
1477,audio,IfcSignal.AUDIO
1478,mixed,IfcSignal.MIXED
1479,visual,IfcSignal.VISUAL
1480,user defined,IfcSignal.USERDEFINED
1481,not defined,IfcSignal.NOTDEFINED
1482,change order,IfcProjectOrder.CHANGEORDER
1483,maintenancework order,IfcProjectOrder.MAINTENANCEWORKORDER
1484,move order,IfcProjectOrder.MOVEORDER
1485,purchase order,IfcProjectOrder.PURCHASEORDER
1486,work order,IfcProjectOrder.WORKORDER
1487,cons t,IfcStructuralCurveAction.CONST
1488,discrete,IfcStructuralCurveAction.DISCRETE
1489,equidistant,IfcStructuralCurveAction.EQUIDISTANT
1490,linear,IfcStructuralCurveAction.LINEAR
1491,parabola,IfcStructuralCurveAction.PARABOLA
1492,polygonal,IfcStructuralCurveAction.POLYGONAL
1493,sinus,IfcStructuralCurveAction.SINUS
1494,user defined,IfcStructuralCurveAction.USERDEFINED
1495,not defined,IfcStructuralCurveAction.NOTDEFINED
1496,cable,IfcStructuralCurveMember.CABLE
1497,compression_ member,IfcStructuralCurveMember.COMPRESSION_MEMBER
1498,pin_joined_ member,IfcStructuralCurveMember.PIN_JOINED_MEMBER
1499,rigid_joined_ member,IfcStructuralCurveMember.RIGID_JOINED_MEMBER
1500,tension_ member,IfcStructuralCurveMember.TENSION_MEMBER
1501,user defined,IfcStructuralCurveMember.USERDEFINED
1502,not defined,IfcStructuralCurveMember.NOTDEFINED
1503,cons t,IfcStructuralCurveReaction.CONST
1504,discrete,IfcStructuralCurveReaction.DISCRETE
1505,equidistant,IfcStructuralCurveReaction.EQUIDISTANT
1506,linear,IfcStructuralCurveReaction.LINEAR
1507,parabola,IfcStructuralCurveReaction.PARABOLA
1508,polygonal,IfcStructuralCurveReaction.POLYGONAL
1509,sinus,IfcStructuralCurveReaction.SINUS
1510,user defined,IfcStructuralCurveReaction.USERDEFINED
1511,not defined,IfcStructuralCurveReaction.NOTDEFINED
